course_title,course_difficulty,course_category
Innovation: From Creativity to Entrepreneurship,Beginner,General Technology
Inspirational Leadership: Leading with Sense,Beginner,General Technology
Inspired Leadership,Intermediate,General Technology
Inspiring and Motivating Individuals,Mixed,General Technology
Instructional Design Foundations and Applications,Mixed,General Technology
Instructional Methods in Health Professions Education,Intermediate,General Technology
Integrative Health and Medicine,Beginner,General Technology
Intellectual Property Law,Intermediate,General Technology
Interaction Design,Intermediate,General Technology
Intercultural Management,Beginner,General Technology
International Business Essentials,Intermediate,General Technology
International Cyber Conflicts,Mixed,General Technology
International Humanitarian Law in Theory and Practice,Beginner,General Technology
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Mixed,General Technology
International Law in Action: the Arbitration of International Disputes,Mixed,General Technology
International Leadership and Organizational Behavior,Mixed,General Technology
International Marketing & Cross Industry Growth,Beginner,General Technology
International Organizations Management,Beginner,General Technology
International Security Management,Beginner,General Technology
International Women's Health and Human Rights,Beginner,General Technology
International migrations: a global issue,Beginner,General Technology
Internet Connection: How to Get Online?,Beginner,General Technology
Internet Giants: The Law and Economics of Media Platforms,Mixed,General Technology
Interviewing and Resume Writing in English,Intermediate,General Technology
Introducción a Data Science: Programación Estadística con R,Beginner,Data Science
Introducción a la programación en Python I: Aprendiendo a programar con Python,Beginner,Data Science
Introduction aux Droits de l’Homme,Mixed,General Technology
Introduction to Ableton Live,Mixed,General Technology
Introduction to Artificial Intelligence (AI),Beginner,Data Science
Introduction to Big Data,Mixed,Data Science
Introduction to Blockchain Technologies,Beginner,General Technology
Introduction to Breast Cancer,Mixed,General Technology
Introduction to Business Analytics: Communicating with Data,Intermediate,Data Science
Introduction to CSS3,Mixed,General Technology
Introduction to Calculus,Intermediate,General Technology
Introduction to Chemistry:  Reactions and Ratios,Beginner,General Technology
Introduction to Classical Music,Mixed,General Technology
Introduction to Cloud Computing,Beginner,General Technology
Introduction to Computer Programming,Beginner,General Technology
Introduction to Computer Science and Programming,Beginner,General Technology
Introduction to Corporate Finance,Mixed,General Technology
Introduction to Cyber Attacks,Beginner,General Technology
Introduction to Cyber Security,Beginner,General Technology
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,General Technology
Introduction to Data Analysis Using Excel,Mixed,Data Science
Introduction to Data Science,Beginner,Data Science
Introduction to Data Science in Python,Intermediate,Data Science
Introduction to Dental Medicine,Beginner,General Technology
Introduction to Discrete Mathematics for Computer Science,Beginner,General Technology
Introduction to Electronics,Mixed,General Technology
Introduction to Embedded Systems Software and Development Environments,Intermediate,General Technology
Introduction to Engineering Mechanics,Mixed,General Technology
Introduction to Environmental Law and Policy,Mixed,General Technology
Introduction to Financial Accounting,Mixed,General Technology
Introduction to Forensic Science,Mixed,General Technology
Introduction to Game Development,Mixed,General Technology
Introduction to Genetics and Evolution,Mixed,General Technology
Introduction to Genomic Technologies,Mixed,General Technology
Introduction to HTML5,Mixed,General Technology
Introduction to Imagemaking,Beginner,General Technology
Introduction to Intellectual Property,Beginner,General Technology
Introduction to International Criminal Law,Mixed,General Technology
Introduction to Marketing,Mixed,General Technology
Introduction to Mathematical Thinking,Intermediate,General Technology
Introduction to Operations Management,Mixed,General Technology
Introduction to Personal Branding,Beginner,General Technology
Introduction to Philosophy,Mixed,General Technology
Introduction to Portfolio Construction and Analysis with Python,Mixed,Data Science
Introduction to Probability and Data,Beginner,Data Science
Introduction to Programming in C,Beginner,General Technology
Introduction to Programming with MATLAB,Beginner,General Technology
Introduction to Psychology,Beginner,General Technology
Introduction to Scripting in Python,Beginner,Data Science
Introduction to Self-Driving Cars,Advanced,General Technology
Introduction to Spreadsheets and Models,Mixed,General Technology
Introduction to Statistics & Data Analysis in Public Health,Beginner,Data Science
Introduction to Sustainability,Mixed,General Technology
Introduction to Systematic Review and Meta-Analysis,Mixed,General Technology
Introduction to Systems Engineering,Mixed,General Technology
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Intermediate,Data Science
Introduction to Thermodynamics: Transferring Energy from Here to There,Beginner,General Technology
"Introduction to Trading, Machine Learning & GCP",Intermediate,Data Science
Introduction to Typography,Beginner,General Technology
Introduction to User Experience Design,Beginner,General Technology
Introduction to User Experience Principles and Processes,Beginner,General Technology
Introduction to Web Development,Beginner,Web Development
Introduction to the Biology of Cancer,Beginner,General Technology
Introductory Human Physiology,Mixed,General Technology
Introdução aos Princípios e Práticas da Gestão De Projetos,Beginner,General Technology
Introdução à Ciência da Computação com Python Parte 1,Beginner,Data Science
Investment Management,Beginner,General Technology
Investment Management with Python and Machine Learning,Beginner,Data Science
Investment and Portfolio Management,Beginner,General Technology
Japanese for beginners 1,Beginner,General Technology
Java Programming and Software Engineering Fundamentals,Beginner,General Technology
Java Programming: Solving Problems with Software,Beginner,General Technology
Julia Scientific Programming,Beginner,General Technology
Kotlin for Java Developers,Intermediate,General Technology
L'excellence opérationnelle en pratique,Beginner,General Technology
"L'impact investing, la finance qui change le monde",Beginner,General Technology
Leadership Development for Engineers,Beginner,General Technology
Leadership in 21st Century Organizations,Mixed,General Technology
Leading Healthcare Quality and Safety,Beginner,General Technology
Leading People and Teams,Beginner,General Technology
"Leading for Equity, Diversity and Inclusion in Higher Education",Intermediate,General Technology
Leading: Human Resource Management and Leadership,Intermediate,General Technology
Learn Chinese: HSK Test Preparation,Beginner,General Technology
Learn English,Beginner,General Technology
Learn English: Advanced Academic Speaking and Listening,Intermediate,General Technology
Learn English: Advanced Grammar and Punctuation,Advanced,General Technology
Learn English: Intermediate Grammar,Intermediate,General Technology
Learn Mandarin Chinese,Beginner,General Technology
Learn SQL Basics for Data Science,Beginner,Data Science
Learn Spanish: Basic Spanish Vocabulary,Beginner,General Technology
Learn to Program: The Fundamentals,Beginner,General Technology
Learn to Speak Korean 1,Beginner,General Technology
Learning to Teach Online,Beginner,General Technology
Legal Tech & Startups,Intermediate,General Technology
Les Fondamentaux de la Négociation,Beginner,General Technology
Liderazgo efectivo para el siglo XXI,Intermediate,General Technology
Linear Circuits 1: DC Analysis,Mixed,General Technology
Love as a Force for Social Justice,Beginner,General Technology
Machine Learning,Intermediate,Data Science
Machine Learning,Mixed,Data Science
Machine Learning Foundations: A Case Study Approach,Mixed,Data Science
Machine Learning and Reinforcement Learning in Finance,Intermediate,Data Science
Machine Learning for All,Beginner,Data Science
Machine Learning for Business Professionals,Intermediate,Data Science
Machine Learning for Trading,Intermediate,Data Science
Machine Learning with Python,Intermediate,Data Science
Machine Learning with TensorFlow on Google Cloud Platform,Intermediate,Data Science
Magic in the Middle Ages,Beginner,General Technology
Making Architecture,Beginner,General Technology
Management of Fashion and Luxury Companies,Mixed,General Technology
Managerial Accounting Fundamentals,Beginner,General Technology
Managerial Economics and Business Analysis,Beginner,General Technology
Managing Innovation and Design Thinking,Beginner,General Technology
Managing Project Risks and Changes,Mixed,General Technology
Managing Social and Human Capital,Beginner,General Technology
Managing Your Health: The Role of Physical Therapy and Exercise,Beginner,General Technology
Market Research,Beginner,General Technology
Marketing Digital,Beginner,General Technology
Marketing Digital,Beginner,General Technology
Marketing Gerencial,Intermediate,General Technology
Marketing Mix Implementation,Beginner,General Technology
Marketing Strategy,Beginner,General Technology
Marketing Verde,Mixed,General Technology
Marketing con Redes Sociales,Intermediate,General Technology
Marketing in a Digital World,Beginner,General Technology
Mastering Data Analysis in Excel,Mixed,Data Science
Mastering Final Cut Pro,Beginner,General Technology
Mastering Software Development in R,Beginner,General Technology
Materials Science: 10 Things Every Engineer Should Know,Mixed,General Technology
Mathematics for Data Science,Beginner,Data Science
Mathematics for Machine Learning,Beginner,Data Science
Mathematics for Machine Learning: Linear Algebra,Beginner,Data Science
Mathematics for Machine Learning: Multivariate Calculus,Beginner,Data Science
Mathematics for Machine Learning: PCA,Intermediate,Data Science
Medical Cannabis: The Health Effects of THC and CBD,Beginner,General Technology
Medical Neuroscience,Advanced,General Technology
Memoir and Personal Essay: Write About Yourself,Beginner,General Technology
Methods and Statistics in Social Sciences,Beginner,General Technology
Microeconomics Principles,Beginner,General Technology
Microeconomics: The Power of Markets,Mixed,General Technology
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,Beginner,General Technology
Miracles of Human Language: An Introduction to Linguistics,Beginner,General Technology
Model Thinking,Mixed,General Technology
Modeling Risk and Realities,Mixed,General Technology
Modern Art & Ideas,Beginner,General Technology
Modern Big Data Analysis with SQL,Beginner,Data Science
"Modern Robotics:  Mechanics, Planning, and Control",Intermediate,General Technology
Modernizing Data Lakes and Data Warehouses with GCP,Intermediate,Data Science
Moral Foundations of Politics,Mixed,General Technology
More Introduction to Financial Accounting,Mixed,General Technology
Mountains 101,Mixed,General Technology
Municipal Solid Waste Management in Developing Countries,Intermediate,General Technology
Music Business,Beginner,General Technology
Music Business Foundations,Mixed,General Technology
Music Production,Beginner,General Technology
Nanotechnology: A Maker’s Course,Mixed,General Technology
Natural Language Processing in TensorFlow,Intermediate,General Technology
Negociación exitosa: Estrategias y habilidades esenciales (en español),Mixed,General Technology
"Negotiation, Mediation and Conflict Resolution",Beginner,General Technology
Networking and Security Architecture with VMware NSX,Intermediate,General Technology
Networking in Google Cloud,Intermediate,General Technology
Neural Networks and Deep Learning,Intermediate,General Technology
Neurolinguistics,Mixed,General Technology
New Approaches to Countering Terror: Countering Violent Extremism,Beginner,General Technology
Newborn Baby Care,Beginner,General Technology
Nutrición y obesidad: control de sobrepeso,Beginner,General Technology
Nutrition and Lifestyle in Pregnancy,Intermediate,General Technology
Object Oriented Java Programming: Data Structures and Beyond,Intermediate,Data Science
Object Oriented Programming in Java,Beginner,General Technology
Object-Oriented Data Structures in C++,Intermediate,Data Science
Object-Oriented Design,Intermediate,General Technology
Oil & Gas Industry Operations and Markets,Mixed,General Technology
"Open Source Software Development, Linux and Git",Beginner,General Technology
Operating Systems and You: Becoming a Power User,Beginner,General Technology
Operations Analytics,Mixed,Data Science
Optical Engineering,Advanced,General Technology
Organizational Leadership,Intermediate,General Technology
Osteoarchaeology: The Truth in Our Bones,Beginner,General Technology
Palliative Care: It's Not Just Hospice Anymore,Beginner,General Technology
Palo Alto Networks Cybersecurity,Beginner,General Technology
"Parallel, Concurrent, and Distributed Programming in Java",Intermediate,General Technology
Particle Physics: an Introduction,Mixed,General Technology
Patient Safety,Beginner,General Technology
Patrocinio Deportivo,Beginner,General Technology
People Analytics,Mixed,Data Science
Perfect Tenses and Modals,Intermediate,General Technology
Periodismo digital y combate a las fake news,Beginner,General Technology
Photography Basics and Beyond: From Smartphone to DSLR,Beginner,General Technology
Plant Bioinformatic Methods,Beginner,General Technology
Politics and Economics of International Energy,Beginner,General Technology
Positive Psychiatry and Mental Health,Mixed,General Technology
Positive Psychology,Mixed,General Technology
Positive Psychology: Applications and Interventions,Beginner,General Technology
Positive Psychology: Martin E. P. Seligman’s Visionary Science,Beginner,General Technology
Positive Psychology: Resilience Skills,Beginner,General Technology
Power Electronics,Intermediate,General Technology
Practical Data Science with MATLAB,Beginner,Data Science
Practical Time Series Analysis,Intermediate,General Technology
Preparing for the Google Cloud Associate Cloud Engineer Exam,Beginner,General Technology
Preparing to Manage Human Resources,Mixed,General Technology
"Presentation Skills: Speechwriting, Slides and Delivery",Beginner,General Technology
Pricing Strategy Optimization,Beginner,General Technology
Primeros Auxilios Psicológicos (PAP),Mixed,General Technology
Private Equity and Venture Capital,Mixed,General Technology
Probabilistic Graphical Models 1: Representation,Advanced,General Technology
Probability and Statistics: To p or not to p?,Beginner,General Technology
Process Mining: Data science in Action,Intermediate,Data Science
"Programming Foundations with JavaScript, HTML and CSS",Beginner,Web Development
Programming Fundamentals,Beginner,General Technology
Programming for Everybody (Getting Started with Python),Mixed,Data Science
Programming with Google Go,Intermediate,General Technology
Project Execution,Beginner,General Technology
Project Launch,Beginner,General Technology
Project Management & Other Tools for Career Development,Beginner,General Technology
Project Management Principles and Practices,Beginner,General Technology
Psychological First Aid,Mixed,General Technology
Public Policy Challenges of the 21st Century,Beginner,General Technology
Python Basics,Beginner,Data Science
Python Classes and Inheritance,Intermediate,Data Science
Python Data Structures,Mixed,Data Science
"Python Functions, Files, and Dictionaries",Beginner,Data Science
Python and Statistics for Financial Analysis,Intermediate,Data Science
Python for Data Science and AI,Beginner,Data Science
Python for Everybody,Beginner,Data Science
Quantitative Methods,Mixed,General Technology
Queering Identities: LGBTQ+ Sexuality and Gender Identity,Beginner,General Technology
R Programming,Intermediate,General Technology
"Ready, Set, Future! Introduction to Futures Thinking",Beginner,General Technology
Recommender Systems,Intermediate,General Technology
"Recruiting, Hiring, and Onboarding Employees",Mixed,General Technology
Reinforcement Learning,Intermediate,General Technology
Renewable Energy and Green Building Entrepreneurship,Beginner,General Technology
Reporting extra-financier et stratégie RSE,Beginner,General Technology
Requirements Engineering: Secure Software  Specifications,Beginner,General Technology
Research Data Management and Sharing,Mixed,Data Science
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",Mixed,General Technology
Responsive Website Development and Design,Beginner,General Technology
Rethinking International Tax Law,Mixed,General Technology
Revisão Sistemática e Meta-análise,Intermediate,General Technology
Robotics,Beginner,General Technology
Roman Architecture,Beginner,General Technology
Russian Alphabet,Beginner,General Technology
Russian for beginners А1. Русский язык: A1,Beginner,General Technology
Réussir le Changement,Mixed,General Technology
SAS Programmer,Beginner,General Technology
SAS Visual Business Analytics,Beginner,Data Science
SQL for Data Science,Beginner,Data Science
Sales Operations/Management,Beginner,General Technology
Sales Training for High Performing Teams,Beginner,General Technology
Sample-based Learning Methods,Intermediate,General Technology
Scaling Operations: Linking Strategy and Execution,Mixed,General Technology
School Health for Children and Adolescents,Beginner,General Technology
Science of Exercise,Beginner,General Technology
Search Engine Optimization Fundamentals,Mixed,General Technology
Secure Coding Practices,Intermediate,General Technology
Security & Safety Challenges in a Globalized World,Beginner,General Technology
Security in Google Cloud Platform,Intermediate,General Technology
Self-Driving Cars,Advanced,General Technology
Sequence Models,Intermediate,General Technology
Sexualidad...mucho más que sexo,Beginner,General Technology
Sharpened Visions: A Poetry Workshop,Beginner,General Technology
Site Reliability Engineering: Measuring and Managing Reliability,Advanced,General Technology
Six Sigma Green Belt,Intermediate,General Technology
Six Sigma and the Organization (Advanced),Intermediate,General Technology
"Sleep: Neurobiology, Medicine, and Society",Beginner,General Technology
Smart Cities – Management of Smart Urban Infrastructures,Beginner,General Technology
Social Entrepreneurship,Beginner,General Technology
Social Media Marketing,Beginner,General Technology
"Social Norms, Social Change I",Beginner,General Technology
Social Policy for Social Services & Health Practitioners,Beginner,General Technology
Social Psychology,Beginner,General Technology
Social and Economic Networks:  Models and Analysis,Advanced,General Technology
Software Design and Architecture,Beginner,General Technology
Software Development Lifecycle,Intermediate,General Technology
Software Processes and Agile Practices,Mixed,General Technology
Software Product Management,Beginner,General Technology
Solar Energy Basics,Beginner,General Technology
Songwriting: Writing the Lyrics,Beginner,General Technology
Soporte de Tecnologías de la Información de Google,Beginner,General Technology
Spacecraft Dynamics and Control,Advanced,General Technology
Spanish Vocabulary: Meeting People,Beginner,General Technology
"Speak English Professionally: In Person, Online & On the Phone",Mixed,General Technology
Sports Marketing,Intermediate,General Technology
Sports and Society,Mixed,General Technology
Stanford Introduction to Food and Health,Beginner,General Technology
Stanford's Short Course on Breastfeeding,Beginner,General Technology
Statistical Analysis with R for Public Health,Beginner,General Technology
Statistics with Python,Beginner,Data Science
Statistics with R,Beginner,General Technology
Stories of Infection,Intermediate,General Technology
Strategic Business Analytics,Advanced,Data Science
Strategic Business Management - Microeconomics,Beginner,General Technology
Strategic Leadership and Management,Beginner,General Technology
Strategic Management,Mixed,General Technology
Strategic Management and Innovation,Beginner,General Technology
Strategic Sales Management,Intermediate,General Technology
Strategising: Management for Global Competitive Advantage,Intermediate,General Technology
Strategy and Sustainability,Beginner,General Technology
Structuring Machine Learning Projects,Beginner,Data Science
Success,Beginner,General Technology
Successful Negotiation: Essential Strategies and Skills,Mixed,General Technology
Summary Statistics in Public Health,Beginner,General Technology
Supply Chain Analytics,Beginner,Data Science
Supply Chain Finance and Blockchain Technology,Intermediate,General Technology
Supply Chain Logistics,Beginner,General Technology
Supply Chain Management,Beginner,General Technology
Supply Chain Operations,Beginner,General Technology
Supply Chain Principles,Mixed,General Technology
Supporting children with difficulties in reading and writing,Mixed,General Technology
Survey Data Collection and Analytics,Beginner,Data Science
Sustainable Tourism – promoting environmental public health,Beginner,General Technology
Swift 5 iOS Application Developer,Beginner,General Technology
System Administration and IT Infrastructure Services,Beginner,General Technology
Systems Biology and Biotechnology,Intermediate,General Technology
Systems Thinking In Public Health,Mixed,General Technology
"TESOL Certificate, Part 1: Teach English Now!",Beginner,General Technology
"TESOL Certificate, Part 2: Teach English Now!",Beginner,General Technology
Teach English Now! Foundational Principles,Mixed,General Technology
Teach English Now! Teaching Language Online,Intermediate,General Technology
Teaching Character and Creating Positive Classrooms,Mixed,General Technology
Teamwork Skills: Communicating Effectively in Groups,Beginner,General Technology
Technical Support Fundamentals,Beginner,General Technology
TensorFlow in Practice,Intermediate,General Technology
TensorFlow: Data and Deployment,Intermediate,Data Science
Terrorism and Counterterrorism: Comparing Theory and Practice,Beginner,General Technology
The Addicted Brain,Beginner,General Technology
The Art of Music Production,Intermediate,General Technology
The Art of Sales: Mastering the Selling Process,Beginner,General Technology
The Arts and Science of Relationships: Understanding Human Needs,Beginner,General Technology
The Bits and Bytes of Computer Networking,Beginner,General Technology
The Business of Health Care,Beginner,General Technology
The Business of Music Production,Beginner,General Technology
The Changing Global Order,Intermediate,General Technology
The Cycle: Management of Successful Arts and Cultural Organizations,Beginner,General Technology
The DIY Musician,Beginner,General Technology
The Data Scientist’s Toolbox,Mixed,Data Science
The Economics of Health Care Delivery,Mixed,General Technology
The Global Financial Crisis,Mixed,General Technology
The Horse Course: Introduction to Basic Care and Management,Mixed,General Technology
The Manager's Toolkit: A Practical Guide to Managing People at Work,Mixed,General Technology
"The Modern World, Part One: Global History from 1760 to 1910",Beginner,General Technology
"The Modern World, Part Two: Global History since 1910",Beginner,General Technology
The Oral Cavity: Portal to Health and Disease,Intermediate,General Technology
The Power of Macroeconomics: Economic Principles in the Real World,Mixed,General Technology
The Power of Microeconomics: Economic Principles in the Real World,Mixed,General Technology
The Pronunciation of American English,Beginner,General Technology
The Science of Gastronomy,Mixed,General Technology
The Science of Stem Cells,Intermediate,General Technology
The Science of Success: What Researchers Know that You Should Know,Beginner,General Technology
The Science of Training Young Athletes,Beginner,General Technology
The Science of Well-Being,Mixed,General Technology
The Singer Songwriter,Beginner,General Technology
The Social Context of Mental Health and Illness,Mixed,General Technology
The Strategy of Content Marketing,Intermediate,General Technology
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",Beginner,General Technology
The Teacher and Social and Emotional Learning (SEL),Beginner,General Technology
The Technology of Music Production,Beginner,General Technology
The Truth About Cats and Dogs,Mixed,General Technology
The hidden value – Lean in manufacturing and services,Beginner,General Technology
Think Again I: How to Understand Arguments,Beginner,General Technology
Tools for Data Science,Beginner,Data Science
Trading Strategies in Emerging Markets,Beginner,General Technology
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",Mixed,General Technology
Tricky American English Pronunciation,Beginner,General Technology
Troubles du spectre de l'autisme : diagnostic,Intermediate,General Technology
U.S. Federal Taxation,Intermediate,General Technology
UCI Project Management,Beginner,General Technology
UI / UX Design,Beginner,General Technology
UX Design Fundamentals,Beginner,General Technology
Understanding Cancer Metastasis,Beginner,General Technology
Understanding Clinical Research: Behind the Statistics,Mixed,General Technology
Understanding Einstein: The Special Theory of Relativity,Beginner,General Technology
Understanding Medical Research: Your Facebook Friend is Wrong,Beginner,General Technology
Understanding Modern Finance,Intermediate,General Technology
Understanding Plants - Part I: What a Plant Knows,Beginner,General Technology
Understanding Research Methods,Mixed,General Technology
Understanding and Visualizing Data with Python,Beginner,Data Science
Understanding the Brain: The Neurobiology of Everyday Life,Beginner,General Technology
Unity Certified Programmer Exam Preparation,Intermediate,General Technology
Unity XR: How to Build AR and VR Apps,Beginner,General Technology
University Teaching,Beginner,General Technology
Unraveling the Cycling City,Intermediate,General Technology
User Experience Research and Design,Beginner,General Technology
User Interface Design,Intermediate,General Technology
Using Databases with Python,Mixed,Data Science
Using Python to Access Web Data,Mixed,Web Development
Using Python to Interact with the Operating System,Beginner,Data Science
Value Chain Management,Intermediate,General Technology
Version Control with Git,Mixed,General Technology
Viral Marketing and How to Craft Contagious Content,Mixed,General Technology
Virtual Reality,Beginner,General Technology
Virtual Teacher,Beginner,General Technology
Vital Signs: Understanding What the Body Is Telling Us,Mixed,General Technology
Web Applications for Everybody,Intermediate,Web Development
Web Design for Everybody: Basics of Web Development & Coding,Beginner,Web Development
Weight Management: Beyond Balancing Calories,Beginner,General Technology
What Is Contemporary Art?,Beginner,General Technology
What future for education?,Mixed,General Technology
What is Compliance?,Mixed,General Technology
What is Data Science?,Beginner,Data Science
What is Social?,Mixed,General Technology
Wine Tasting: Sensory Techniques for Wine Analysis,Beginner,General Technology
Wonders of Ancient Egypt,Intermediate,General Technology
Write A Feature Length Screenplay For Film Or Television,Beginner,General Technology
Write Professional Emails in English,Mixed,General Technology
Write Your First Novel,Beginner,General Technology
Writing in the Sciences,Beginner,General Technology
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,Mixed,General Technology
iOS App Development with Swift,Intermediate,General Technology
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,Beginner,General Technology
Étudier en France: French Intermediate course B1-B2,Intermediate,General Technology
Éxito Profesional,Beginner,General Technology
Искусство ведения бизнеса,Beginner,General Technology
Искусство разработки на современном C++,Intermediate,General Technology
Корпоративные финансы и стоимость компании,Beginner,General Technology
Математика и Python для анализа данных,Beginner,Data Science
Машинное обучение и анализ данных,Intermediate,General Technology
Основы Digital Маркетинга,Intermediate,General Technology
Основы программирования на Python,Beginner,Data Science
Основы разработки на C++: белый пояс,Intermediate,General Technology
Погружение в Python,Intermediate,Data Science
Программирование на Python,Intermediate,Data Science
Психолингвистика (Psycholinguistics),Mixed,General Technology
Разработка интерфейсов: вёрстка и JavaScript,Intermediate,Web Development
Русский как иностранный,Intermediate,General Technology
Финансовые инструменты для частного инвестора,Beginner,General Technology
